Brand,Info,Price,IntPrice
ACER,"Swift 5 14"" Intel® Core™ i5 Laptop - 256 GB SSD, Blue",£699.00,699.0
ASUS,"ZenBook Pro 15.6"" Intel® Core™ i7 GTX 1050 Laptop - 512 GB SSD, Black","£1,749.00",1749.0
ACER,"Aspire 3 A315-51 15.6"" Intel® Core™ i3 Laptop - 128 GB SSD, Black",£399.00,399.0
APPLE,"MacBook Pro 13"" with Touch Bar - 256 GB SSD, Silver (2018)","£1,569.00",1569.0
DELL,"Inspiron 17 3000 17.3"" Intel® Core™ i5 Laptop - 1 TB HDD & 128 GB SSD, Silver",£749.00,749.0
MSI,"Stealth GS65 15.6"" Intel® Core™ i7 RTX 2060 Gaming Laptop - 512 GB SSD","£1,999.00",1999.0
ACER,"Predator Helios 300 15.6"" Intel® Core™ i5 GTX 1060 Gaming Laptop - 1 TB HDD & 256 GB SSD","£1,199.00",1199.0
HP,"14-ck0505sa 14"" Intel® Pentium™ Laptop - 128 GB SSD, Grey",£329.99,329.99
LENOVO,"IdeaPad 330-15ICH 15.6"" Intel® Core™ i5+ Laptop - 1 TB HDD, Black",£599.00,599.0
DELL,"Inspiron 13 7000 13.3"" Intel® Core™ i5 2 in 1 - 256 GB SSD, Silver",£799.00,799.0
HP,"Spectre Folio 13"" Intel® Core™ i7 2 in 1 - 256 GB SSD, Brown Cognac Leather","£1,499.00",1499.0
DELL,"Inspiron 17 5000 17.3"" Intel® Core™ i5 Laptop - 1 TB HDD & 128 GB SSD, Silver",£749.00,749.0
HP,"Notebook 14-ck0518sa 14"" Intel® Core™ i5 Laptop - 128 GB SSD, Silver",£498.97,498.97
LENOVO,"Ideapad 330s 14"" AMD A9 Laptop - 128 GB SSD, Platinum Grey",£299.97,299.97
DELL,"XPS 13 13.3"" Intel® Core™ i7 Laptop - 256 GB SSD, Silver","£1,299.00",1299.0
MSI,"GF72 17.3"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 256 GB SSD","£1,299.00",1299.0
MICROSOFT,"12.3"" Intel® Core™ i7 Surface Pro 6 - 512 GB SSD, Black","£1,744.00",1744.0
HP,"14-ck0596sa 14"" Intel® Core™ i5 Laptop - 128 GB SSD, Silver",£499.00,499.0
HP,"14"" AMD Ryzen 3 Laptop - 128 GB SSD, Blue",£429.00,429.0
MICROSOFT,"Surface Book 2 15"" - 256 GB, Silver","£2,349.00",2349.0
MICROSOFT,"Surface Book 2 13.5"" Intel® Core™ i7 – 512 GB, Silver","£2,250.00",2250.0
LENOVO,"IdeaPad 330S 15.6"" AMD Ryzen 5 Laptop - 256 GB SSD, Grey",£549.00,549.0
DELL,"G5 15.6"" Intel® Core™ i5 GTX 1060 Gaming Laptop - 1 TB HDD & 128 GB SSD",£999.00,999.0
LENOVO,"IdeaPad 330S 15.6"" Ryzen 3 Laptop - 128 GB SSD, Grey",£399.99,399.99
DELL,"XPS 15 15.6"" Intel® Core™ i9 Laptop - 1 TB SSD, Silver","£2,399.00",2399.0
DELL,"G3 17 17.3"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 128 GB SSD","£1,099.00",1099.0
DELL,"Inspiron 13 7000 13.3"" Intel® Core™ i7 2 in 1 - 256 GB SSD, Silver",£949.00,949.0
MICROSOFT,"12.3"" Intel® Core™ i7 Surface Pro 6 - 256 GB SSD, Platinum","£1,349.00",1349.0
LENOVO,"Ideapad 330 15.6"" Intel® Core™ i5 Laptop - 1 TB HDD & 128 GB SSD, Black",£749.00,749.0
LENOVO,"IdeaPad 330s 14"" Intel® Core™ i5 Laptop - 128 GB SSD, Blue",£549.00,549.0
HP,"ENVY x360 15.6"" AMD Ryzen 7 2 in 1 - 1 TB HDD & 256 GB SSD, Silver",£929.00,929.0
HP,"x2 12-f050na 12.3"" Intel® Core™ m3 2 in 1 Chromebook - 64 GB eMMC, Blue & White",£799.00,799.0
HP,"14-bw023na 14"" AMD A6 Laptop - 1 TB HDD, Black",£319.00,319.0
HUAWEI,"Matebook X Pro 13.9"" Intel® Core™ i7 Laptop - 512 GB SSD, Grey","£1,699.00",1699.0
RAZER,"Blade 15.6"" Intel® Core™ i7 GTX 1070 Gaming Laptop – 256 GB SSD","£1,949.00",1949.0
ASUS,"TUF FX705 17.3"" Intel® Core™ i7 GTX 1050 Ti Gaming Laptop - 1 TB HDD & 128 GB SSD",£999.00,999.0
HP,"ENVY x360 13.3"" AMD Ryzen 7 2 in 1 - 512 GB SSD, Grey","£1,199.00",1199.0
MSI,"GF72 17.3"" Intel® Core™ i5 GTX 1050 Ti Gaming Laptop - 256 GB SSD",£899.00,899.0
MICROSOFT,"12.3"" Intel® Core™ i7 Surface Pro 6 - 256 GB SSD, Black","£1,429.00",1429.0
DELL,"G3 17 17.3"" Intel® Core™ i7 GTX 1050 Ti Gaming Laptop - 1 TB HDD & 128 GB SSD",£999.00,999.0
DELL,"G3 17 17.3"" Intel® Core™ i5 GTX 1050 Gaming Laptop - 256 GB SSD",£879.00,879.0
HP,"Spectre x360 15.6"" Intel® Core™ i7 2 in 1 - 512 GB SSD, Dark Silver","£1,699.00",1699.0
MSI,"Stealth Thin GS65 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 256 GB SSD","£1,799.00",1799.0
ACER,"Predator Helios 300 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 256 GB SSD","£1,249.00",1249.0
HP,"14-db0500sa 14"" AMD A4 Chromebook - 32 GB eMMC, Blue",£219.00,219.0
APPLE,"MacBook Pro 13"" - Silver (2017)","£1,299.00",1299.0
APPLE,"MacBook Pro 15"" with Touch Bar - 256 GB SSD, Silver (2018)","£2,059.00",2059.0
LENOVO,"IdeaPad 320-15ABR 15.6"" AMD A12 Laptop - 1 TB HDD, Black",£379.00,379.0
ACER,"Aspire 3 15.6"" Intel® Core™ i3 Laptop - 128 SSD, Blue",£399.00,399.0
LENOVO,"IdeaPad 720S 13.3"" AMD Ryzen 5 Laptop - 256 GB SSD, Platinum",£749.98,749.98
MSI,"GF62 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 256 GB SSD","£1,199.00",1199.0
HP,"Spectre x360 15.6"" Intel® Core™ i7 2 in 1 - 512 GB SSD, Dark Silver","£1,449.97",1449.97
RAZER,"Blade Stealth 13.3"" Intel® Core™ i7 Gaming Laptop - 512 GB SSD","£1,699.00",1699.0
LENOVO,"Ideapad 330s 14"" AMD A9 Laptop - 128 GB SSD, Platinum",£329.00,329.0
HP,"Pavilion 15-cx0512na 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 128 GB SSD",£999.00,999.0
LENOVO,"IdeaPad 330 15.6"" Intel® Core™ i7+ Laptop - 1 TB HDD, Black",£849.00,849.0
ASUS,"C423NA Touch 14"" Intel® Celeron™ Chromebook - 32 GB eMMC, Silver",£349.00,349.0
LENOVO,"Ideapad 530S 14"" Intel® Core™ i7 Laptop - 256 GB SSD, Black",£749.00,749.0
HP,"Pavilion 14-ce0596sa 14"" Intel® Core™ i3 Laptop - 128 GB SSD, Burgundy",£479.00,479.0
APPLE,"MacBook Pro 13"" with Touch Bar - 512 GB SSD, Silver (2018)","£1,750.00",1750.0
MSI,"Raider RGB GE63 15.6"" Intel® Core™ i7 GTX 1070 Gaming Laptop - 1 TB HDD & 256 GB SSD","£1,799.00",1799.0
